Waf: Entering directory `/home/tiago/Documentos/Trabalho REDES/pos/ns-allinone-3.30.1/ns-3.30.1/build'
Waf: Leaving directory `/home/tiago/Documentos/Trabalho REDES/pos/ns-allinone-3.30.1/ns-3.30.1/build'
Build commands will be stored in build/compile_commands.json
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0010982 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.0009367 s
Total time of creation connections: 0.0008721 s
Total time of creation connections: 0.000969 s
Total time of creation connections: 0.0009044 s
Block Propagation Time: 132.013889
Block Propagation Time: 132.013889
Block Propagation Time: 132.048951
Block Propagation Time: 132.692308
Block Propagation Time: 132.013889
Block Propagation Time: 132.013889
Block Propagation Time: 132.085106
Block Propagation Time: 131.825175
Block Propagation Time: 132.034965
Block Propagation Time: 132.013889
Block Propagation Time: 131.758865
Block Propagation Time: 132.013889
Block Propagation Time: 132.013889
Block Propagation Time: 132.020979
Block Propagation Time: 132.027972
Block Propagation Time: 131.936620
Block Propagation Time: 131.711268
Block Propagation Time: 132.013889
Block Propagation Time: 132.013889
Block Propagation Time: 132.013889
Block Propagation Time: 132.013889
Block Propagation Time: 132.013889
Block Propagation Time: 131.993007
Block Propagation Time: 131.846154
Block Propagation Time: 132.027972
Block Propagation Time: 132.013889
Block Propagation Time: 131.846154
Block Propagation Time: 131.986014
Block Propagation Time: 132.013889
Block Propagation Time: 132.055944
Block Propagation Time: 132.118881
Block Propagation Time: 132.013889
Block Propagation Time: 132.013889
Block Propagation Time: 132.076923
Block Propagation Time: 132.076923
Block Propagation Time: 132.013889
Block Propagation Time: 132.013889
Block Propagation Time: 132.034965
Block Propagation Time: 132.013889
Block Propagation Time: 132.160839
Block Propagation Time: 132.013889
Block Propagation Time: 131.887324
Block Propagation Time: 132.118881
Block Propagation Time: 132.176056
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.006993
Block Propagation Time: 131.915493
Block Propagation Time: 132.084507
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.083916
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 131.836879
Block Propagation Time: 132.020833
Block Propagation Time: 132.363636
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 131.846154
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 131.839161
Block Propagation Time: 132.678322
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 131.839161
Block Propagation Time: 132.169014
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 131.839161
Block Propagation Time: 132.063380
Block Propagation Time: 131.873239
Block Propagation Time: 132.034965
Block Propagation Time: 131.895105
Block Propagation Time: 131.894366
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.622378
Block Propagation Time: 132.671329
Block Propagation Time: 132.083916
Block Propagation Time: 131.730496
Block Propagation Time: 131.846154
Block Propagation Time: 131.881119
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.090909
Block Propagation Time: 132.069930
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.104895
Block Propagation Time: 131.697183
Block Propagation Time: 132.169014
Block Propagation Time: 132.020833
Block Propagation Time: 132.091549
Block Propagation Time: 131.972028
Block Propagation Time: 132.020833
Block Propagation Time: 132.048951
Block Propagation Time: 132.218310
Block Propagation Time: 132.020833
Block Propagation Time: 132.076923
Block Propagation Time: 131.993007
Block Propagation Time: 131.661972
Block Propagation Time: 132.069930
Block Propagation Time: 131.957746
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.419580
Block Propagation Time: 132.069930
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.034965
Block Propagation Time: 132.560284
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.176056
Block Propagation Time: 132.020833
Block Propagation Time: 132.104895
Block Propagation Time: 132.020833
Block Propagation Time: 131.895105
Block Propagation Time: 131.832168
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 131.832168
Block Propagation Time: 131.654930
Block Propagation Time: 132.020833
Block Propagation Time: 132.113475
Block Propagation Time: 132.307692
Block Propagation Time: 131.846154
Block Propagation Time: 132.020833
Block Propagation Time: 131.839161
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 132.055944
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 131.846154
Block Propagation Time: 132.055944
Block Propagation Time: 131.978873
Block Propagation Time: 132.041958
Block Propagation Time: 132.020833
Block Propagation Time: 131.839161
Block Propagation Time: 132.020833
Block Propagation Time: 132.020833
Block Propagation Time: 131.867133
Block Propagation Time: 132.104895
Block Propagation Time: 132.034965
Block Propagation Time: 132.027972
Block Propagation Time: 132.020833
Block Propagation Time: 132.056338
Block Propagation Time: 132.020833
Block Propagation Time: 131.654930
Block Propagation Time: 132.020833
Block Propagation Time: 131.901408
